epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2333.56640625,0.2214213951863015,2.009155750274658,0.20673434018321366
2,929.869384765625,0.2123793299261783,1.9814144372940063,0.22456053478583807
3,866.3150634765625,0.23046346044642468,1.9669909477233887,0.2319881158702649
4,829.591552734375,0.23505001528851613,1.9657373428344727,0.24213914335231493
5,807.8738403320312,0.23806403704189052,1.9554003477096558,0.23991086902698688
6,798.8005981445312,0.24269427335866858,1.9582310914993286,0.24139638524387225
7,794.40478515625,0.24439785087144542,1.949975848197937,0.2503094825451844
8,790.4388427734375,0.2456646136373564,1.951361894607544,0.2480812082198564
9,788.1788330078125,0.2459267024854759,1.949575662612915,0.24931913840059422
10,785.7224731445312,0.24339317695365395,1.9513378143310547,0.2480812082198564
11,782.914794921875,0.24334949547896736,1.9525426626205444,0.24090121317157712
12,780.4342041015625,0.2459267024854759,1.948061227798462,0.2468432780391186
13,778.166015625,0.24409208054863932,1.9475722312927246,0.2532805149789552
14,775.6342163085938,0.2468876949285808,1.9459457397460938,0.254518445159693
15,772.9664306640625,0.24483466561831127,1.9516255855560303,0.2500618965090369
16,771.3978881835938,0.2468440134538942,1.944300889968872,0.24956672443674177
17,768.423828125,0.2465819246057747,1.9489072561264038,0.24659569200297105
18,766.2388305664062,0.24640719870702835,1.9586222171783447,0.2436246595692003
19,763.5543212890625,0.2474118726248198,1.9452497959136963,0.24907155236444664
20,760.5020751953125,0.24789236884637225,1.9411946535110474,0.2488239663282991
21,758.3489379882812,0.24789236884637225,1.9429035186767578,0.24981431047288932
22,755.5856323242188,0.24754291704887957,1.9556220769882202,0.24907155236444664
23,753.6834716796875,0.2471497837767003,1.9450829029083252,0.2550136172319881
24,750.9675903320312,0.24614510985890883,1.945335865020752,0.24238672938846248
25,749.0698852539062,0.24758659852356615,1.9414820671081543,0.25352810101510276
26,746.5848388671875,0.24614510985890883,1.9514638185501099,0.24783362218370883
27,743.8287963867188,0.24902808718822347,1.9456971883773804,0.24981431047288932
28,743.902099609375,0.24963962783383567,1.949519157409668,0.2520425847982174
29,742.7117309570312,0.24915913161228323,1.9492629766464233,0.2448625897499381
30,742.1827392578125,0.24907176866291006,1.9688435792922974,0.25154741272592224
31,742.1146240234375,0.24780500589699908,1.9425948858261108,0.2537756870512503
32,741.8082275390625,0.24815445769449176,1.94838547706604,0.24560534785838078
33,741.92626953125,0.24850390949198445,1.9566597938537598,0.24263431542461006
34,741.8443603515625,0.2483291835932381,1.9404202699661255,0.2512998266897747
35,742.0252075195312,0.24846022801729786,1.9430782794952393,0.24956672443674177
36,741.4796752929688,0.24780500589699908,1.940366268157959,0.254518445159693
37,742.3839721679688,0.24784868737168567,1.9493588209152222,0.24709086407526615
38,742.193115234375,0.24977067225789543,1.9483009576797485,0.24659569200297105
39,741.8963012695312,0.2503822129035076,1.9452663660049438,0.25105224065362713
40,742.501220703125,0.2474555540995064,1.9460748434066772,0.24387224560534787
41,742.3343505859375,0.24990171668195518,1.9461841583251953,0.25229017083436495
42,742.0137329101562,0.24972699078320884,1.9401531219482422,0.25625154741272593
43,741.778076171875,0.24902808718822347,1.9469621181488037,0.2485763802921515
44,742.4052124023438,0.2501201240553881,1.94715416431427,0.25229017083436495
45,742.279052734375,0.24994539815664177,1.9419009685516357,0.2572418915573162
46,741.9824829101562,0.24959594635914908,1.9416853189468384,0.2542708591235454
47,742.4888916015625,0.2506443017516271,1.9478394985198975,0.2532805149789552
48,742.339111328125,0.24994539815664177,1.94218111038208,0.25278534290666005
49,741.7411499023438,0.24998907963132835,2.0338706970214844,0.24189155731616738
50,742.6043701171875,0.24850390949198445,1.9554694890975952,0.2530329289428076
51,742.1024169921875,0.24815445769449176,1.946242094039917,0.2485763802921515
52,741.9321899414062,0.2498580352072686,1.9969418048858643,0.24634810596682347
53,742.4466552734375,0.25051325732756735,1.9497226476669312,0.2480812082198564
54,742.057373046875,0.25016380553007467,1.9415091276168823,0.25476603119584057
55,742.7190551757812,0.24859127244135762,1.9473564624786377,0.24634810596682347
56,742.9572143554688,0.24780500589699908,1.9486995935440063,0.24733845011141373
57,742.3486938476562,0.24706242082732713,1.9460761547088623,0.24585293389452834
58,742.3408203125,0.24719346525138688,1.94965660572052,0.2485763802921515
59,742.3148803710938,0.2486349539160442,1.948522686958313,0.25105224065362713
60,742.704345703125,0.24889704276416372,1.9495757818222046,0.2520425847982174
